Soft Label	Title	URL	Description	Media Type	Keywords
Books	Mollick, Ethan. Co-Intelligence: Living and Working with AI. Portfolio/Penguin, 2024.	https://www.penguinrandomhouse.com/books/741805/co-intelligence-by-ethan-mollick/	"**Mollick, Ethan. Co-Intelligence: Living and Working with AI. Portfolio/Penguin, 2024.**

""Co-Intelligence: Living and Working with AI"" by Ethan Mollick is a pivotal resource for college faculty and staff seeking to integrate artificial intelligence into their academic environments and administrative workflows. This comprehensive guide delves into the practical applications of AI, offering actionable strategies to enhance teaching methodologies, streamline operational processes, and foster an innovative learning atmosphere. Mollick, a renowned expert in the field, provides real-world examples and case studies that illustrate AI's transformative potential in education. The book is invaluable for educators aiming to stay ahead of technological advancements and leverage AI to enrich the educational experience for students. Accessibly published by Portfolio/Penguin, this title is available through the prominent book retailer Penguin Random House.

**Keywords:**
- AI in education
- Artificial intelligence integration
- Educational technology
- AI teaching strategies
- Ethan Mollick"	Web Page	
Books	Buyserie, Beth and Thurston, Travis. Teaching and Generative AI, Utah State University Center for Empowering Teaching Excellence, 2024	https://www.usu.edu/empowerteaching/publications/books/teaching-ai/	"**Resource Description:**

""Teaching and Generative AI"" by Beth Buyserie and Travis Thurston from the Utah State University Center for Empowering Teaching Excellence is a comprehensive guide aimed at college faculty and staff interested in integrating AI into their educational practices. Published in 2024, this resource dives into the potentials of generative AI to enhance teaching methodologies, streamline administrative tasks, and foster a more engaging learning environment. The authors offer practical strategies, real-world examples, and insights into the ethical considerations surrounding AI in education. This guide is particularly helpful for educators seeking to innovate their classroom experiences and for administrative staff looking to leverage AI for increased efficiency. Keywords to explore this resource include: generative AI, educational innovation, teaching strategies, AI in education, and faculty development. Visit www.usu.edu/empowerteaching/publications/books/teaching/ai to learn more."	Web Page	
Brookings Institution	AI and the next digital divide in education | Brookings	https://www.brookings.edu/articles/ai-and-the-next-digital-divide-in-education/	"**AI and the Next Digital Divide in Education | Brookings**

This insightful resource from Brookings delves into the emerging digital divide caused by the rapid integration of AI in educational settings. Titled ""AI and the Next Digital Divide in Education,"" the article explores how unequal access to AI technologies can exacerbate existing educational inequities. It emphasizes the importance of understanding and addressing these disparities to ensure all students benefit from AI advancements. Faculty and staff will find this resource invaluable for gaining a deeper understanding of how AI might influence educational outcomes, as well as strategies for creating more equitable learning environments. By shedding light on both the opportunities and challenges presented by AI in education, this Brookings article can help educators and administrators make informed decisions about incorporating AI into their curricula and institutional practices.

**Keywords:** AI in education, digital divide, educational equity, Brookings, AI strategies in schools, technology access in education."	Web Page	
Brookings Institution	AI is coming to schools, and if we're not careful, so will its biases | Brookings	https://www.brookings.edu/articles/ai-is-coming-to-schools-and-if-were-not-careful-so-will-its-biases/	"### Resource Description
**Title:** AI is coming to schools, and if we're not careful, so will its biases | Brookings

As artificial intelligence (AI) becomes increasingly integrated into educational settings, it is essential for faculty and staff to understand both its potential benefits and its inherent risks. This insightful article from Brookings delves into the intricate ways AI can transform classroom experiences and operational workflows in schools. However, it emphasizes the critical need to be vigilant about the biases that AI can introduce, which might inadvertently perpetuate existing inequities. Educators and administrators will benefit from the article's thorough analysis, as it explores strategies for mitigating these biases and ensuring a fair and inclusive learning environment. This resource is invaluable for those aiming to leverage AI effectively while fostering equity and diversity in their institution.

**Keywords:** AI in education, AI biases, equitable education technology, Brookings, AI impact on schools, educational resources, faculty and staff guidance"	Web Page	
Brookings Institution	Should schools ban or integrate generative AI in the classroom? | Brookings	https://www.brookings.edu/articles/should-schools-ban-or-integrate-generative-ai-in-the-classroom/	"**Resource Title: Should schools ban or integrate generative AI in the classroom? | Brookings**

Description: This insightful article from Brookings, titled ""Should schools ban or integrate generative AI in the classroom?"", delves into the growing debate surrounding the inclusion of generative AI technologies in educational settings. Faculty and staff will find this resource invaluable as it explores both the potential benefits and the ethical concerns of integrating AI tools in the classroom. The article provides a balanced perspective, discussing how generative AI can enhance learning experiences by offering personalized education and automating administrative tasks, while also addressing the challenges such as bias, data privacy, and the digital divide. By engaging with this resource, educators can make informed decisions about the role of AI in their institutions and develop strategies to effectively leverage these technologies to improve teaching and learning outcomes.

Keywords: generative AI, education, classroom technology, Brookings, AI integration, AI ethics, personalized learning, educational resources, faculty support, administrative automation."	Web Page	
Brookings Institution	The role of AI in education and the changing US workforce | Brookings	https://www.brookings.edu/articles/the-role-of-ai-in-education-and-the-changing-u-s-workforce/	"""The Role of AI in Education and the Changing US Workforce"" is an insightful article available on the Brookings Institution's website. This resource delves into the transformative impact of artificial intelligence on both educational environments and the broader American job market. It provides a comprehensive analysis of how AI technologies can be integrated into classroom settings to enhance personalized learning, automate administrative tasks, and support data-driven decision-making. Additionally, the article addresses the evolving skill requirements driven by AI advancements, emphasizing the need for educational institutions to adapt their curricula to prepare students for future workforce demands. This resource is invaluable for college faculty and staff aiming to harness AI's potential to improve educational outcomes and align workforce training with emerging industry needs.

Keywords: AI in education, workforce transformation, personalized learning, AI curriculum, educational technology, workforce development."	Web Page	
Brookings Institution	Why we need to rethink education in the artificial intelligence age | Brookings	https://www.brookings.edu/articles/why-we-need-to-rethink-education-in-the-artificial-intelligence-age/	"**Resource Description:**

""Why we need to rethink education in the artificial intelligence age"" is an insightful article published by Brookings that explores the critical necessity of transforming educational paradigms in response to the advent of artificial intelligence (AI). This resource is particularly valuable for college faculty and staff as it delves into how AI is reshaping labor markets and the skillsets required for future careers. The article offers a comprehensive analysis of the implications of AI on education, emphasizing the need for a curriculum overhaul to include AI literacy and interdisciplinary learning. By understanding these dynamics, educators can better prepare students for the evolving job landscape and integrate AI in pedagogically sound ways to enhance teaching and learning experiences. Additionally, the resource underscores the importance of fostering critical thinking, creativity, and ethical considerations in students, which are essential skills in an AI-driven world.

**Keywords:** AI in education, AI curriculum, interdisciplinary learning, future skills, labor market changes, AI literacy, educational transformation, Brookings article."	Web Page	
Brookings Institution	Emerging technologies in global education | Brookings	https://www.brookings.edu/collection/emerging-technologies-in-global-education/	"**Resource Description:**

""Emerging technologies in global education | Brookings"" is a comprehensive collection curated by the Brookings Institution that explores the latest advancements in educational technology and how they are transforming the learning landscape worldwide. This resource is particularly valuable for college faculty and staff interested in integrating artificial intelligence into their classroom or workplace. It delves into various innovative tools and methodologies, providing evidence-based insights and best practices for enhancing teaching and administrative efficiency. By examining real-world case studies and expert analyses, educators can better understand how to leverage AI to personalize learning, automate administrative tasks, and foster a more engaging and inclusive educational environment. This collection serves as a go-to guide for staying current with technological trends and understanding their practical applications in higher education. Keywords: emerging technologies, global education, AI in education, Brookings Institution, educational innovation."	Web Page	
Business Strategy	Generative AI: What Is It, Tools, Models, Applications and Use Cases (gartner.com)	https://www.gartner.com/en/topics/generative-ai	"Title: Generative AI: What Is It, Tools, Models, Applications and Use Cases (gartner.com)

Description: This comprehensive resource from Gartner delves into the world of Generative AI, providing a thorough understanding of what it entails, along with the tools, models, applications, and use cases associated with it. Ideal for college faculty and staff, this resource helps demystify the technology behind Generative AI, offering practical insights into how it can be utilized in both the classroom and workplace. By exploring various AI models and applications, educators can discover new ways to enhance teaching methodologies, develop innovative learning experiences, and streamline administrative processes. Such in-depth knowledge is essential for integrating advanced AI capabilities to improve efficiency and engagement within educational environments.

Keywords: Generative AI, AI tools, AI models, AI applications, AI use cases, educational technology, AI in education, AI integration."	Other	
Business Strategy	A data leader’s technical guide to scaling gen AI | McKinsey	https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/a-data-leaders-technical-guide-to-scaling-gen-ai	"### A Data Leader’s Technical Guide to Scaling Generative AI | McKinsey

""A Data Leader’s Technical Guide to Scaling Generative AI"" by McKinsey is an invaluable resource for college faculty and staff looking to integrate advanced AI techniques into their teaching methods or administrative operations. This guide offers comprehensive insights into how generative AI can be scaled effectively within an organization, making it a crucial read for those responsible for data strategy and implementation. Covering essential technical considerations, best practices, and real-world applications, the guide equips educators and administration professionals with the knowledge they need to harness the full potential of AI. By delving into McKinsey’s expert perspectives, users can learn how to drive innovation, efficiency, and enhanced learning outcomes using generative AI technologies.

**Keywords:** AI integration, Generative AI, Data strategy, Technical guide, AI in education, McKinsey insights, AI scaling, Educational technology, Data leadership."	Other	
Business Strategy	The state of AI in early 2024: Gen AI adoption spikes and starts to generate value | McKinsey	https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai	"**Resource Description:**
""The state of AI in early 2024: Gen AI adoption spikes and starts to generate value” by McKinsey provides a comprehensive analysis of the accelerating adoption and tangible benefits of Generative AI in various sectors, including education. This insightful report explores how institutions are leveraging AI to enhance teaching methodologies, personalize student learning experiences, and optimize administrative processes. Faculty and staff will find invaluable information on the latest trends in AI, practical case studies, and strategic recommendations for effectively integrating AI tools into their classrooms and workplace environments. By delving into the resource, educators can stay ahead of emerging technologies, improve their pedagogical strategies, and ultimately drive better educational outcomes.

**Keywords:**
- AI in Education
- Generative AI
- AI Adoption Trends
- AI Case Studies
- Teaching Enhancement
- Educational Technology"	Other	
Business Strategy	The AI compass: The success of balancing tension, scalability, consistency & complexity - Thomson Reuters Institute	https://www.thomsonreuters.com/en-us/posts/technology/ai-compass/	"**Resource Description:**

""The AI Compass: The Success of Balancing Tension, Scalability, Consistency & Complexity"" by the Thomson Reuters Institute is an insightful resource designed to assist college faculty and staff in effectively integrating AI in educational settings as well as administrative tasks. This comprehensive guide explores the multifaceted dimensions of AI, offering strategies on how to manage the inherent tensions between achieving scalability, maintaining consistency, and handling complexity within a higher education framework. By providing real-world examples and expert analyses, ""The AI Compass"" helps educators and administrators understand how to balance these elements to optimize teaching methodologies, streamline administrative operations, and enhance student engagement. It underscores the importance of intentional AI integration to achieve sustainable educational outcomes. Faculty and staff will find this resource invaluable for its practical advice on leveraging AI to create a more efficient and innovative academic environment.

**Keywords:**

AI integration, higher education, administrative efficiency, teaching methodologies, scalability in education, educational technology, AI strategies."	Web Page	
Business Strategy	2024 generative AI in professional services report | Thomson Reuters	https://www.thomsonreuters.com/en/reports/2024-generative-ai-in-professional-services.html	"Title: **2024 Generative AI in Professional Services Report | Thomson Reuters**

Description: The ""2024 Generative AI in Professional Services Report"" by Thomson Reuters is an essential resource for college faculty and staff aiming to integrate artificial intelligence into their curriculum or operational practices. This comprehensive report explores the latest advancements and applications of generative AI tools within professional services, offering valuable insights into their potential benefits and challenges. By reviewing current trends, use cases, and expert analyses, educators and administrative professionals can better understand how to harness AI for enhanced productivity, innovation, and student engagement. This report is particularly beneficial for those in fields such as business, law, and information technology who are looking to stay ahead of the curve and implement cutting-edge technologies in their work environment.

Keywords: generative AI, professional services, 2024 report, Thomson Reuters, AI in education, AI applications, advanced technology, curriculum enhancement, operational efficiency, innovation in education"	Web Page	
Canvas	Instructure | Gen AI	https://www.instructure.com/search?srch=generative+ai	"""Instructure | Gen AI"" is a comprehensive resource designed to help college faculty and staff integrate generative AI tools into their educational environments to enhance both classroom instruction and administrative workflows. Featuring actionable insights, practical guides, and real-world case studies, this resource equips educators with the knowledge to leverage AI for personalized learning, automated grading, and content creation, among other applications. By exploring www.instructure.com/search/srch/generative/ai, educators can access a wealth of information curated to streamline the adoption of AI technologies, thus boosting efficiency and enriching the student learning experience. This resource is particularly beneficial for those looking to stay ahead in the rapidly evolving educational landscape by employing cutting-edge AI solutions.

**Keywords**: Generative AI, Personalized Learning, Automated Grading, AI in Education, Educational Technology, Classroom Innovation, AI Tools for Educators."	Other	
Citing Gen AI as a Source	MLA - How Do I Cite Generative AI? - McMaster LibGuides at McMaster University	https://libguides.mcmaster.ca/cite-gen-ai/mla#:~:text=According%20to%20this%20post%2C%20MLA,%22%20(MLA%20Style%20Center).	"**MLA - How Do I Cite Generative AI? - McMaster LibGuides at McMaster University**

This resource from McMaster University offers comprehensive guidance on how to correctly cite generative AI tools and outputs in MLA format, which is increasingly relevant given the rise of AI-generated content in academic and professional settings. It explains the nuances of acknowledging generative AI in scholarly work, ensuring that faculty and staff can maintain academic integrity while benefiting from AI technologies. This guide is indispensable for educators seeking to integrate AI tools into their curriculum and scholarly activities without compromising on citation standards. It offers clear, practical examples and adheres to the latest MLA guidelines, making it a reliable reference for any academic setting.

**Keywords:** MLA citation, generative AI, academic integrity, McMaster University, scholarly work, AI tools, faculty guide, citation standards"	Other	
Critical Digital Literacy	Critical Data Literacies (mit.edu)	https://mitpress.mit.edu/9780262546829/critical-data-literacies/	"**Critical Data Literacies (mit.edu)**

Critical Data Literacies, published by MIT Press, is an indispensable resource for college faculty and staff aiming to incorporate AI and data-driven methodologies into their classrooms and administrative practices. This comprehensive guide delves into understanding, interpreting, and effectively utilizing data, providing educators with the knowledge and tools to foster critical thinking skills in their students. By exploring fundamental concepts and advanced techniques in data literacy, faculty members can elevate their curriculum, ensuring their students are prepared for a data-centric world. Additionally, staff can leverage these insights to optimize operations and decision-making processes within their institutions. With its academic rigor and practical applications, Critical Data Literacies is crucial for enhancing educational delivery and institutional efficiency.

**Keywords**: AI integration, Data literacy, Education, Higher education, MIT Press, Instructional resource, Data-driven decision making."	Web Page	
Critical Digital Literacy	Critical Digital Literacy | 43 | The Handbook of Critical Literacies | (taylorfrancis.com)	https://www.taylorfrancis.com/chapters/edit/10.4324/9781003023425-43/critical-digital-literacy-alexander-bacalja-earl-aguilera-edison-ferney-castrill%C3%B3n-%C3%A1ngel	"**Resource Description:**
""Critical Digital Literacy | 43 | The Handbook of Critical Literacies"" on Taylor & Francis is an essential resource for college faculty and staff looking to integrate AI and digital literacy into their educational practices and workplace environments. Authored by experts Alexander Bacalja, Earl Aguilera, and Edison Ferney Castrillón Ángel, this chapter delves into the fundamental principles of critical digital literacy and how they intersect with AI technologies. It offers a comprehensive guide on how to critically analyze and utilize digital tools in a manner that fosters an inclusive and thoughtful learning environment. The resource provides valuable insights into the ethical implications of AI, strategies for incorporating AI-driven tools into curricula, and practical examples of engaging students in critical discussions about digital interactions. By leveraging this resource, educators can better prepare students for the complexities of the digital age, ensuring they become not just consumers but critical users and creators of technology.

**Keywords:**
- Critical Digital Literacy
- AI in Education
- Digital Tools
- Ethical Implications of AI
- Inclusive Learning
- Taylor & Francis
- Educational Technology
- Alexander Bacalja
- Earl Aguilera
- Edison Ferney Castrillón Ángel"	Other	
Curriculum Design	21CSLA Digitally Mediated Learning Vignettes | 21CSLA (berkeley.edu)	https://21cslacenter.berkeley.edu/professional-learning/dml/vignettes	"""21CSLA Digitally Mediated Learning Vignettes"" by 21CSLA at Berkeley is an invaluable resource for college faculty and staff interested in integrating AI and other digital tools into their teaching and administrative practices. This collection of vignettes offers practical, real-world examples of how digital technologies can enhance the learning experience, making it more interactive and personalized. By leveraging these case studies, educators can gain insights into the successful implementation of AI-driven interventions, develop innovative pedagogical strategies, and improve classroom engagement. Additionally, staff can find models for efficiently managing administrative tasks using AI, thus enhancing productivity. With contributions from educational professionals, this resource serves as both an inspirational guide and a practical manual.

**Keywords:**
- AI in education
- Digital learning tools
- Professional development
- Teaching strategies
- Classroom engagement
- Educational technology innovations"	Other	
Curriculum Design	Friday SLO Talk, September 29, 2023 – COACHes	https://coaches.institute/2023/10/01/friday-slo-talk-september-29-2023/	"**Friday SLO Talk, September 29, 2023 – COACHes**

The ""Friday SLO Talk, September 29, 2023 – COACHes"" is an informative session designed to guide college faculty and staff on the practical implementation of AI tools in the classroom and workplace. Hosted by experts from COACHes Institute, this talk focuses on leveraging AI to enhance Student Learning Outcomes (SLOs) through personalized learning experiences and data-driven decision making. Attendees will gain insights into how to effectively incorporate AI-driven strategies to improve student engagement, streamline administrative tasks, and foster a more adaptive learning environment. This resource is particularly beneficial for educators seeking to stay ahead of the curve by integrating cutting-edge AI technologies to optimize their teaching methods and better support their students.

**Keywords:** AI in education, COACHes Institute, Student Learning Outcomes, personalized learning, data-driven decision making, educational technology, faculty development, September 29, 2023, Friday SLO talk."	Web Page	
Curriculum Design	Centre for Teaching, Learning and Technology, University of British Columbia - YouTube	https://www.youtube.com/@ctltresources	"The Centre for Teaching, Learning and Technology (CTLT) at the University of British Columbia offers an invaluable YouTube channel (www.youtube.com/ctltresources) tailored for college faculty and staff who are eager to incorporate AI in their classrooms or workplace. This channel provides a comprehensive array of video tutorials, research discussions, and case studies that delve into effective strategies for integrating AI tools in educational settings. With content ranging from basic introductions to AI concepts to advanced applications and ethical considerations, this resource supports educators in enhancing their teaching methodologies and administrative processes through technology. The visual and accessible nature of YouTube makes it easy for educators to learn at their own pace and revisit complex topics as needed. 

**Keywords:**
- AI in Education
- Teaching Technology
- AI Resources for Faculty
- Educational AI Tools
- CTLT UBC"	YouTube Video	
Department of Education	Artificial Intelligence and the Future of Teaching and Learning (ed.gov)	https://tech.ed.gov/files/2023/05/ai-future-of-teaching-and-learning-report.pdf	"**Artificial Intelligence and the Future of Teaching and Learning (ed.gov)**

The resource titled ""Artificial Intelligence and the Future of Teaching and Learning"" is a comprehensive report hosted on ed.gov that delves into the transformative role of AI in modern education. Published in 2023, this insightful document provides educators with practical strategies and forward-thinking approaches for integrating AI technologies into their curricula and administrative functions. By dissecting current trends and future projections, the report serves as an invaluable guide for college faculty and staff aiming to enhance student engagement, streamline grading processes, and personalize learning experiences. It underscores how AI can drive educational innovation and improve learning outcomes. Key highlights of the report include case studies, ethical considerations, and a roadmap for implementing AI-driven tools in academic settings. With its detailed analysis and actionable recommendations, this resource is poised to empower educators in navigating the evolving landscape of AI in education.

**Keywords:** AI in education, teaching innovation, personalized learning, educational technology, AI tools, future of learning, administrative AI, teaching strategies, student engagement."	PDF	
